date,team,opponent,goals,goals_conceded,is_home,elo,opponent_elo,xg,opponent_xg,tournament,city,country,neutral,gf_prom_5,gc_prom_5,elo_prom_5,gf_prom_15,gc_prom_15,total_goals,pace_20,rival_gf_prom_5,rival_gc_prom_5,rival_elo_prom_5,rival_gf_prom_15,rival_gc_prom_15
2023-10-15,Georgia,Cyprus,4,0,True,1577.0,1360.0,,,UEFA Euro qualification,Tbilisi,Georgia,False,2.4,2.4,1628.4,2.33,1.33,4,3.2,0.4,3.6,1735.6,0.73,2.6
2023-10-15,Grenada,Suriname,0,4,False,1102.0,1269.0,,,CONCACAF Nations League,Paramaribo,Suriname,False,0.8,3.4,1456.8,1.27,2.47,4,3.55,0.4,1.0,1345.2,0.8,1.33
2023-10-15,Guadeloupe,Saint Lucia,2,0,True,1254.0,1147.0,,,CONCACAF Nations League,Sainte-Anne,Guadeloupe,False,2.6,1.4,1185.2,1.8,1.07,2,2.85,2.6,1.2,1133.4,1.53,0.87
2023-10-15,Haiti,Jamaica,2,3,True,1498.0,1559.0,,,CONCACAF Nations League,Port of Spain,Trinidad and Tobago,True,1.0,1.6,1462.2,2.13,1.07,5,3.45,1.6,1.2,1471.6,1.53,1.27
2023-10-15,Honduras,Cuba,4,0,True,1470.0,1272.0,,,CONCACAF Nations League,Tegucigalpa,Honduras,False,1.2,0.4,1387.4,0.87,1.2,4,2.05,0.8,1.6,1427.4,1.27,1.2
2023-10-15,Faroe Islands,Czech Republic,0,1,False,1264.0,1720.0,,,UEFA Euro qualification,Plzeň,Czech Republic,False,0.2,2.2,1609.6,0.67,1.93,1,2.5,1.8,1.2,1559.8,1.53,1.47
2023-10-16,Portugal,Bosnia and Herzegovina,5,0,False,1925.0,1574.0,,,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False,3.4,0.4,1575.8,3.13,0.6,5,3.35,0.8,1.4,1384.8,1.07,1.2
2023-10-16,Luxembourg,Slovakia,0,1,True,1481.0,1615.0,,,UEFA Euro qualification,Luxembourg,Luxembourg,False,1.6,2.2,1528.8,1.13,1.8,1,2.9,1.6,1.0,1496.8,1.13,0.87
2023-10-16,Montserrat,Nicaragua,0,3,False,960.0,1266.0,,,CONCACAF Nations League,Managua,Nicaragua,False,0.6,2.4,1241.4,1.33,2.0,3,3.0,2.2,1.4,1356.6,1.8,1.27
2023-10-16,Mozambique,Nigeria,2,3,True,1349.0,1591.0,,,Friendly,Albufeira,Portugal,True,1.2,1.0,1286.2,0.93,1.13,5,2.05,2.4,1.0,1344.6,1.8,1.27
2023-10-16,Netherlands,Greece,1,0,False,1921.0,1681.0,,,UEFA Euro qualification,Athens,Greece,False,2.0,2.0,1815.0,1.93,1.33,1,3.45,1.8,1.0,1643.4,1.67,0.73
2023-10-16,Nigeria,Mozambique,3,2,False,1591.0,1349.0,,,Friendly,Albufeira,Portugal,True,2.4,1.0,1344.6,1.8,1.27,5,2.85,1.2,1.0,1286.2,0.93,1.13
2023-10-16,Republic of Ireland,Gibraltar,4,0,False,1549.0,1091.0,,,UEFA Euro qualification,Faro-Loulé,Portugal,True,1.0,1.6,1677.6,1.2,1.33,4,2.5,0.0,3.2,1647.6,0.4,2.67
2023-10-16,Turks and Caicos Islands,British Virgin Islands,2,2,True,796.0,651.0,,,CONCACAF Nations League,Providenciales,Turks and Caicos Islands,False,1.2,1.4,870.4,1.2,4.07,4,5.25,1.2,2.4,973.4,0.87,3.27
2023-10-16,Saint Martin,Anguilla,8,0,True,899.0,585.0,,,CONCACAF Nations League,Basseterre,Saint Kitts and Nevis,True,2.6,1.4,928.8,1.73,1.73,8,4.0,0.4,2.6,1009.2,0.27,4.8
2023-10-16,Saint Vincent and the Grenadines,French Guiana,2,3,False,1067.0,1302.0,,,CONCACAF Nations League,Fort-de-France,Martinique,True,1.8,2.6,1135.4,1.27,2.67,5,3.95,1.8,1.0,1077.6,1.6,1.13
2023-10-16,Senegal,Cameroon,1,0,True,1698.0,1613.0,,,Friendly,Lens,France,True,1.4,1.0,1536.2,1.67,1.33,1,2.6,1.4,1.2,1529.4,1.07,1.13
